NAME,RA,DEC,PMRA,PMDEC,EPOCH,RESOLUTION,SUBSURVEY,TEMPLATE,RULESET,EXTENT_FLAG,EXTENT_PARAMETER,EXTENT_INDEX,MAG_TYPE,MAG,MAG_ERR,DATE_EARLIEST,DATE_LATEST,CADENCE,REDDENING,REDSHIFT_ESTIMATE,REDSHIFT_ERROR,TEMPLATE_REDSHIFT,CAL_MAG_BLUE,CAL_MAG_GREEN,CAL_MAG_RED,CAL_MAG_ERR_BLUE,CAL_MAG_ERR_GREEN,CAL_MAG_ERR_RED,CAL_MAG_ID_BLUE,CAL_MAG_ID_GREEN,CAL_MAG_ID_RED,CLASSIFICATION,COMPLETENESS,PARALLAX
67499927,179.601095,-24.096175,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid108_snt1_phase9_redshift0.248.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,20.98344,0.0,2461511.0,2461516.0,1048576,0.0,0.236801,0.0,0.236801,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
205056909,77.88002,-14.481357,0.0,0.0,2000.0,1,tides-hosts,SF_col00pt650_mass09pt50_sfr05pt00_z00pt475.fits,tides_hostsMay2024,0,0.0,0.0,LSST_r_AB,23.4944,0.0,2461799.6,2462865.0,0,0.0,0.480569,0.0,0.480569,0.0,0.0,0.0,0.0,0.0,0.0,,,,GAL,0.0,0.0
166312656,347.768909,-8.34902,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1389_snt25_phase5_redshift0.344.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.958992,0.0,2462712.0,2462717.0,1048576,0.0,0.34347,0.0,0.34347,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
141836176,306.263292,-12.905832,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid276_snt1_phase1_redshift0.452.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.619987,0.0,2462760.0,2462765.0,1048576,0.0,0.44896,0.0,0.44896,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
88809294,195.541518,-33.170003,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1218_snt23_phase25_redshift0.092.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,20.593992,0.0,2462574.0,2462579.0,1048576,0.0,0.080717,0.0,0.080717,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
162612809,219.03671,-22.499552,0.0,0.0,2000.0,1,tides-hosts,SF_col00pt500_mass10pt00_sfr02pt00_z00pt000.fits,tides_hostsMay2024,0,0.0,0.0,LSST_r_AB,22.1022,0.0,2462311.4,2462865.0,0,0.0,0.211649,0.0,0.211649,0.0,0.0,0.0,0.0,0.0,0.0,,,,GAL,0.0,0.0
24795991,348.584835,-46.982227,0.0,0.0,2000.0,1,tides-hosts,Pass_col01pt020_mass10pt35_sfr00pt00_z00pt750.fits,tides_hostsMay2024,0,0.0,0.0,LSST_r_AB,23.2985,0.0,2461275.8,2462865.0,0,0.0,0.738813,0.0,0.738813,0.0,0.0,0.0,0.0,0.0,0.0,,,,GAL,0.0,0.0
118326659,148.165243,-2.115759,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid274_snt1_phase-7_redshift0.452.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.20785,0.0,2461082.0,2461087.0,1048576,0.0,0.455655,0.0,0.455655,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
66816071,309.136416,-1.393867,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid157_snt1_phase1_redshift0.315.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.012545,0.0,2461953.0,2461958.0,1048576,0.0,0.308907,0.0,0.308907,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
83679984,0.897457,-27.295535,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid33_snt1_phase49_redshift0.095.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.113297,0.0,2461270.0,2461275.0,1048576,0.0,0.064277,0.0,0.064277,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
5792776,227.510251,-2.628947,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1072_snt50_phase0_redshift0.071.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.990105,0.0,2461270.0,2461275.0,1048576,0.0,0.077448,0.0,0.077448,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
80913263,199.732846,9.732547,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid108_snt1_phase9_redshift0.248.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.027643,0.0,2462627.0,2462632.0,1048576,0.0,0.236686,0.0,0.236686,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
135444549,66.438483,-0.089799,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1435_snt32_phase25_redshift0.132.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,17.141376,0.0,2461884.0,2461889.0,1048576,0.0,0.130435,0.0,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
1026336,56.906168,-49.115283,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid154_snt1_phase-11_redshift0.315.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.066523,0.0,2461697.0,2461702.0,1048576,0.0,0.320813,0.0,0.320813,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
